slug,rotulo,natureza,estatuto,pai,definicao
gestao-de-configuracao,Gestão de configuração,processo,natural,,Processo de manter a consistência e o estado desejado de componentes e sistemas ao longo de seu ciclo de vida.
gestao-de-incidentes,Gestão de incidentes,processo,doutrinario,,"Processo utilizado para responder a interrupções e restaurar a operação normal do serviço o mais rápido possível, minimizando os impactos nas operações de negócio."
gestao-de-incidente-servico-itsm,Gestão de incidente de serviço (ITSM),processo,doutrinario,,"Processo que devolve um serviço de TI ao funcionamento normal o mais rápido possível quando ele quebra ou degrada. O objetivo é restaurar, não explicar: descobrir a causa profunda fica para depois, em processo próprio, porque investigar com o serviço caído prolonga a queda. É diferente do incidente de segurança, em que o objetivo é conter o ataque e investigar antes de religar — um mesmo evento pode ser os dois, e o que separa é qual objetivo comanda a resposta."
gestao-de-risco,Gestão de risco,processo,doutrinario,,"Abordagem sistemática para identificar, avaliar e monitorar ameaças que podem afetar os objetivos de uma organização, visando minimizar possíveis danos e perdas."
gestao-de-terceiros,Gestão de terceiros,processo,natural,,"Conjunto de práticas e processos para administrar as relações com fornecedores e prestadores de serviços externos ao longo de seu ciclo de vida, visando mitigar riscos e garantir o cumprimento de contratos e conformidade legal."
gestao-de-vulnerabilidades,Gestão de vulnerabilidades,processo,natural,,"Processo contínuo e proativo de identificação, avaliação, categorização, priorização e remediação de falhas e fragilidades de segurança nos ativos de tecnologia da informação."
gestao-estrategica,Gestão estratégica,processo,doutrinario,,Gerenciamento de todos os recursos de uma organização para alcançar objetivos e metas com base em planos estratégicos.
gestao-pessoas,Gestão de pessoas,modelo,doutrinario,,"Conjunto de práticas e técnicas responsáveis por administrar e desenvolver o capital humano nas organizações, conciliando os objetivos dos colaboradores com as metas da empresa."
gestao-por-metricas,Gestão por métricas,processo,doutrinario,,"Coordenação e acompanhamento de indicadores quantificáveis para avaliar o desempenho de processos, pessoas e estratégias, orientando a tomada de decisões no negócio."
gestao-projetos,Gestão de projetos,processo,doutrinario,,"Aplicação de conhecimentos, habilidades, ferramentas e técnicas às atividades de um projeto com o propósito de atender aos seus requisitos."
gestao-tecnologia,Gestão de tecnologia,processo,doutrinario,,"Administração dos recursos e processos de tecnologia da informação, envolvendo a gestão de infraestrutura, monitoramento, indicadores e métricas."
governanca,Governança,modelo,doutrinario,,"Conjunto de políticas, papéis e controles que decide como uma organização, ou um objeto sob sua responsabilidade, é dirigido, avaliado e monitorado. Raiz do ramo; o objeto governado é o que distingue os conceitos filhos."
governanca-corporativa,Governança corporativa,modelo,doutrinario,governanca,"Estrutura de direção e controle da organização perante sócios, conselho e partes interessadas, incluindo conduta, integridade e conformidade com o arcabouço a que a organização se submete."
governanca-dados,Governança de dados,modelo,doutrinario,governanca,"Conjunto de políticas, processos e padrões que orientam, monitoram e asseguram a gestão eficiente, qualidade e proteção dos dados de uma organização."
governanca-federada,Governança federada,modelo,doutrinario,sistema-de-sistemas,"Um core normativo único com vários entes co-titulares da execução, vocabulário mantido vivo em instância colegiada, e o centro ofertando capacidade de execução a quem não a tem sem tomar a titularidade."
governanca-ia,Governança de IA,modelo,doutrinario,governanca,"Conjunto de políticas, papéis e controles que decide o que um sistema de IA pode fazer, sob que evidência e com que responsabilidade declarada."
governanca-ti,Governança de TI,modelo,doutrinario,governanca,"Conjunto de políticas, papéis, processos e controles que decide como a função de TI é dirigida, avaliada e monitorada, alinhando a tecnologia aos objetivos da organização."
governo-eletronico,Governo eletrônico,processo,doutrinario,,"Prestação de serviço público e condução de relação com o cidadão por meio digital, incluindo o rearranjo interno que isso exige. Distingue-se de informatização: o objeto é o serviço, não o sistema que o suporta."
gradiente-de-isomorfismo-na-importacao,Gradiente de isomorfismo na importação,fenomeno,doutrinario,,O grau em que a adoção de modelos ou padrões externos varia entre a mera cópia formal e a efetiva adaptação às práticas e capacidades locais.
habilitacao-de-mudanca,Habilitação de mudança,processo,doutrinario,,"O ato de autorizar uma mudança em serviço de TI antes que ela aconteça: alguém revisa o que vai mudar, avalia o risco e marca a hora — sem transformar a autorização em fila que trava a entrega. Mudança padrão e de baixo risco passa por aprovação automática; a rara e arriscada ganha revisão de gente. O objeto é a autorização, não a mudança em si: ao contrário da gestão de mudança organizacional, que cuida de pessoas e resistência, aqui se decide se e quando algo pode ir ao ar."
hardening,Hardening,processo,natural,gestao-de-configuracao,"Processo de redução da superfície de ataque de um sistema por meio da eliminação de funções e serviços desnecessários, aplicação de correções e ajuste de configurações."
hooks,Hooks,modelo,natural,,Pontos de extensão em um software que permitem interceptar o fluxo de execução para executar código customizado sem alterar o código principal.
iam,IAM,modelo,doutrinario,,Framework de políticas e tecnologias para garantir que os usuários corretos tenham o acesso apropriado aos recursos de tecnologia.
identidade-digital,Identidade digital,modelo,natural,iam,Conjunto registrado de características mensuráveis pelo qual um computador pode identificar uma entidade.
identidade-por-hash-de-conteudo,Identidade por hash de conteúdo,processo,natural,,"Uso de um algoritmo para gerar uma cadeia única de caracteres (hash) a partir do conteúdo de um arquivo digital, servindo como uma impressão digital para identificar o dado e garantir sua integridade."
implementacao-dominios,Implementação de domínios,processo,doutrinario,ddd,Traduzir o modelo de domínio em componentes de software e código executável.
independencia-gerencial,Independência gerencial dos constituintes,disposicao,doutrinario,sistema-de-sistemas,"Cada sistema constituinte é adquirido, financiado e operado sob autoridade própria e continuaria operando se destacado do conjunto — a independência é de cada peça, não do todo, e é o que torna o conjunto interdependente sem ser hierárquico. Gradiente de Maier/DoD conforme a autoridade central: dirigido, reconhecido, colaborativo, virtual. A costura fica órfã quando o grau é baixo e nenhum integrador é nomeado."
ingerenciabilidade,Ingerenciabilidade,fenomeno,doutrinario,,Perda da capacidade de coordenação e controle central sobre o ecossistema devido à complexidade ou à autonomia excessiva dos arranjos e sistemas constituintes.
inteligencia-coletiva,Inteligência coletiva,fenomeno,doutrinario,,"Capacidade de julgamento que emerge da agregação de juízos independentes e supera a do participante médio, desde que os erros individuais não sejam correlacionados. A independência é condição, não detalhe."
inteligencia-de-ameacas,Inteligência de ameaças,processo,doutrinario,,"Coleta, análise e uso de dados detalhados sobre ameaças cibernéticas para fornecer contexto sobre os agentes, motivações e metodologias, ajudando a antecipar e mitigar ataques."
interoperabilidade,Interoperabilidade,disposicao,natural,,"Capacidade de sistemas de donos distintos trocarem informação e a usarem com o mesmo sentido, sem acordo bilateral caso a caso. Cobre a camada institucional — padrão comum, quem o mantém, quem adere — além da técnica."
inventario-ativos,Inventário de ativos,modelo,natural,controle-de-seguranca,"Registro estruturado dos recursos tecnológicos de uma organização, incluindo hardware, software, licenças, contratos e informações de uso."
kafka,Kafka,modelo,doutrinario,,"Kafka é uma plataforma que funciona como um diário central de acontecimentos: sistemas publicam eventos (um pedido criado, um pagamento aprovado) num registro ordenado e durável, e outros sistemas leem esse registro no próprio ritmo, cada um do ponto em que parou. O registro não se apaga ao ser lido — quem chega depois relê a história inteira. É o arranjo padrão para ligar muitos sistemas sem que cada par precise de conexão própria."
legibilidade-do-sistema,Legibilidade do sistema,disposicao,doutrinario,,"O domínio está inscrito e documentado, mas a superfície não sinaliza as fronteiras — o que é fachada e o que é substrato, qual porta dá no mesmo dado — e o consumidor não extrai o modelo. Distinto de ausência de inscrição e de disputa de autoridade."
lei-de-brooks,Lei de Brooks,fenomeno,doutrinario,,"Colocar mais gente num projeto de software atrasado atrasa o projeto ainda mais. O mecanismo é duplo: quem chega precisa ser treinado por quem já produz, e cada pessoa nova multiplica os canais de comunicação do time — dez pessoas são 45 pares conversando, e coordenar vira o trabalho. Vale para trabalho que não se reparte em fatias independentes; tarefa divisível de verdade escapa da lei."
lei-de-conway,Lei de Conway,fenomeno,doutrinario,,A observacao de que a estrutura de um sistema reflete a estrutura de comunicacao da organizacao que o constroi.
loop-agentico,Loop agêntico,processo,doutrinario,,"Sequência repetitiva de decisão e execução (objetivo, plano, ação, observação e próximo passo) que orienta o comportamento autônomo de agentes de inteligência artificial."
lora-e-qlora,LoRA e QLoRA,modelo,doutrinario,,"Técnicas de ajuste fino eficiente para grandes modelos de linguagem. O LoRA introduz matrizes de baixo posto treináveis mantendo os pesos originais congelados, enquanto o QLoRA estende essa técnica aplicando quantização ao modelo base para reduzir drasticamente o uso de memória."
maturidade-seguranca,Maturidade de segurança,disposicao,doutrinario,modelo-maturidade,"Aplicação do modelo de maturidade ao domínio de segurança da informação: o estágio de capacidade dos controles, processos e governança de segurança de uma organização, medido contra um referencial (ex. NIST CSF, CIS Controls)."
memoria-organizacional,Memória organizacional,processo,doutrinario,,"Registro, preservação e uso de conhecimentos e informações do passado para orientar as atividades atuais e a tomada de decisão da organização."
menor-privilegio,Menor privilégio,modelo,doutrinario,autorizacao,Princípio de segurança que concede a usuários e sistemas apenas o acesso mínimo necessário para a realização de suas tarefas.
metadados-fair,Metadados FAIR,modelo,doutrinario,,"Conjunto de diretrizes e atributos estruturados para tornar os dados localizáveis, acessíveis, interoperáveis e reutilizáveis por humanos e computadores."
meta-governanca-normativa,Meta-governança normativa,modelo,doutrinario,,"Governança da governança. Abordagem para gerenciar e combinar diferentes estilos de governança — como hierárquica, de mercado e em rede — de forma contextualizada."
modelagem-conceitual,Modelagem conceitual,modelo,doutrinario,,"O objeto modelado e a entidade do dominio. Distingue-se de modelagem-organizacional, cujo objeto e a estrutura da organizacao."
modelagem-de-ameacas,Modelagem de ameaças,modelo,doutrinario,,Método para identificar antecipadamente possíveis vulnerabilidades e falhas de segurança na arquitetura de um sistema ou aplicativo para fins de mitigação e redução de riscos.
modelagem-organizacional,Modelagem organizacional,processo,doutrinario,,"O objeto modelado é a estrutura da organização. Distingue-se de modelagem-conceitual, cujo objeto é a entidade do domínio."
modelo-de-confianca,Modelo de confiança,modelo,doutrinario,,"Como a confiança se origina e se propaga num sistema: o que se aceita por decisão, o que se deriva, e por que caminho. Distingue os arranjos hierárquico, em teia e por ponte. Responde de onde vem a confiança, não que controle a protege."
modelo-maturidade,Modelo de maturidade,modelo,doutrinario,,"Estágio contra o qual a capacidade e o desempenho de uma organização ou processo são medidos e melhorados, refletindo a previsibilidade dos resultados ao longo do tempo."
modelos-de-raciocinio,Modelo de raciocínio,modelo,doutrinario,,Modelo de linguagem que produz passos intermediários antes da resposta e é treinado para que esses passos melhorem o resultado. Distingue-se da técnica de prompt: aqui a capacidade está nos pesos.
modelos-embedding,Modelo de embedding,modelo,doutrinario,embeddings,Modelo que converte texto ou outro dado em vetor num espaço fixo. A escolha do modelo é contrato do espaço: vetores de modelos distintos não são comparáveis entre si.
monitoramento-continuo,Monitoramento contínuo,processo,natural,controle-de-seguranca,Acompanhamento automatizado e em tempo real de redes e sistemas para detectar ameaças e vulnerabilidades continuamente.
monte-carlo-tree-search,Monte Carlo Tree Search,processo,doutrinario,busca-em-arvore,"Busca em árvore que estima o valor de um ramo por amostragem aleatória de continuações em vez de avaliação exaustiva, concentrando a exploração onde o retorno amostrado é maior."
movimento-lateral,Movimento lateral,processo,natural,taticas-e-tecnicas-adversarias,"Conjunto de técnicas em que um invasor, após a entrada inicial em uma rede, espalha seu alcance para outros sistemas e dispositivos em busca de ativos de maior valor."
mundo-vs-convencao,Mundo vs. convencao,modelo,doutrinario,,O eixo: o modelo pretende descrever o mundo ou registrar o acordo de uma comunidade.
negar-por-padrao,Negar por padrão,modelo,doutrinario,controle-de-seguranca,"Conceder só o necessário à função, pelo tempo necessário."
objetivos-de-recuperacao,Objetivos de recuperação,modelo,doutrinario,,Métricas que definem os limites máximos aceitáveis para tempo de inatividade (RTO) e perda de dados (RPO) após uma interrupção ou desastre.
ocr,OCR,processo,natural,extracao-dados,"Recuperação do texto contido numa imagem de documento. Caso de extração em que a fonte não tem camada de texto: o que existe é o desenho das letras, e a leitura é inferida do desenho. Herda de extração o compromisso de preservar o que estava lá, e acrescenta a cadeia de decisões que a fonte digital dispensa — orientação, escrita, idioma, segmentação da página."
okr,OKR,modelo,doutrinario,gestao-por-metricas,Framework colaborativo de definição de metas para alinhar equipes em torno de objetivos e resultados mensuráveis.
ontologia-fundacional,Ontologia fundacional,modelo,doutrinario,,Camada de topo que fixa as categorias mais gerais e serve de hub para ontologias de dominio.
ontologia-juridica,Ontologia juridica,modelo,doutrinario,,"Modelagem de entidades instituidas por norma, que nao tem existencia fisica."
orcamento-publico,Orcamento publico,modelo,instituido,,"Instrumento legal e de planejamento pelo qual o governo estima as receitas e fixa as despesas para um determinado período, visando controlar as finanças públicas e executar as ações governamentais."
