obra_id,reivindicantes,vencedor,motivo
73eaf549-b429-4d23-853a-c5eaf22b54d2,claudinho-TI|claudinho-arquiteto,claudinho-arquiteto,Plano diretor de dados; capability `dados` e repartida com o arquiteto no plano diretor.
f7563ebc-191c-43ce-bbef-434ed84f8ca3,claudinho-TI|claudinho-arquiteto,claudinho-arquiteto,Regra de dependencia e separacao politica/detalhe: organizacao de componente.
23d50d2d-007f-4523-a82b-348309d861f9,claudinho-TI|claudinho-arquiteto,claudinho-arquiteto,Topologia de integracao e nomeada do arquiteto no org-template-canonico.
8ab6b294-3113-40a0-9b30-bfef4932199d,claudinha-gestao-estrategica|claudinho-TI|claudinho-arquiteto,claudinha-gestao-estrategica,"A variavel que a lei governa e a estrutura de comunicacao; quem recorta time e RH. Arquitetura e o efeito, nao a decisao."
ab18b892-c418-48ce-a48a-6d7382d9338d,claudinha-gestao-estrategica|claudinha-produto|claudinho-TI,claudinha-gestao-estrategica,"Custo de atraso, WIP e sequenciamento economico: prioridade e sequenciamento sao remit nomeado da cadeira."
2216a203-568e-485b-b822-094fc3552cb5,claudinha-gestao-estrategica|claudinho-TI|claudinho-arquiteto,claudinha-gestao-estrategica,"Tipo de time, modo de interacao e carga cognitiva sao desenho de cadeira, produzido pela gerencia RH."
c70e4339-4aff-4607-ac0e-abf2a95142e0,claudinha-gestao-estrategica|claudinha-produto|claudinho-arquiteto,claudinha-produto,"Problema perverso e regra de descoberta: define quando a entrega tem de ser iterativa. Decisao do dono, contra proposta inicial de gestao-estrategica."
acd7590d-e3f9-4282-a023-5c8c0f698bd4,claudinha-gestao-estrategica|claudinha-produto|claudinho-arquiteto,claudinha-produto,"Quem produz o enunciado do problema e produto (descoberta); gestao decide se investe, nao o que e o problema. Decisao do dono, contra proposta inicial de gestao-estrategica."
392cc039-ba43-4f0f-b955-08d9a42514da,claudinho-TI|claudinho-arquiteto|claudinho-conhecimento,claudinho-arquiteto,"Criterio de decomposicao por ocultacao e forma do sistema; claudinho-conhecimento retirou a reivindicacao, uso analogico."
1cfaaec6-f92e-429a-a647-2062bbbcc489,claudinho-TI|claudinho-arquiteto|claudinho-conhecimento,claudinho-arquiteto,"Mesma familia e mesmo criterio da anterior, estendido por claudinho-conhecimento; sujeito a veto do dono."
69bcfac2-af6c-4f52-b60c-f23470aaa10b,claudinho-TI|claudinho-arquiteto|claudinho-conhecimento,claudinho-arquiteto,"Quem escreve as ADR centrais e o arquiteto: a obra normatiza artefato que ele produz. Decisao do dono, contra proposta inicial de conhecimento."
