obra_id,titulo,dominio_atual,dominio_proposto,subdominio_proposto
5dd0c0d7-2444-414c-9497-1a9a82da4ffc,Soberania Digital e Inteligência Artificial no Brasil,,capacidade-estatal,ce-fundamentacao
ab291c61-7109-42ae-887d-2ad61c33a9b6,Soberania digital: para quê e para quem? Análise conceitual e política do conceito a partir do contexto brasileiro,,capacidade-estatal,ce-fundamentacao
9102c319-f65a-4db2-8bab-e1ee9d38ee90,"Social Media Use in Organizations: Exploring the Affordances of Visibility, Editability, Persistence, and Association",,capacidade-estatal,ce-fundamentacao
b89b7d2b-2432-4a01-adbe-0fc644e471dc,"Sociomateriality: Challenging the Separation of Technology, Work and Organization",,capacidade-estatal,ce-fundamentacao
d7e4f282-42c3-4c89-990a-0465257bf5c5,Strengthening Metis Around Routine Health Information Systems in Developing Countries,,capacidade-estatal,ce-fundamentacao
f1aa98c1-6f8e-4d9b-ba2d-72c98f9b8004,"Tecnologias da informação, concentração de conhecimentos e relações internacionais: a atuação da Microsoft no Brasil",,capacidade-estatal,ce-fundamentacao
2e50723a-63cc-499f-a2ec-89edb73198fb,Teoria dos Custos de Transação e Mecanismos de Governança na Administração Pública,capacidade-estatal,capacidade-estatal,ce-fundamentacao
c29c1aae-1568-4087-8676-114a8719203d,The Ecological Approach to the Visual Perception of Pictures,,capacidade-estatal,ce-fundamentacao
b6462f46-6dc4-4a39-9ec7-eb1fdd8cfa33,The Role of Agile Values in Enhancing Good Governance in Public Administration during the COVID-19 Crisis: An International Survey,,capacidade-estatal,ce-fundamentacao
ca7430ff-4b75-4412-96b0-5843eea60f08,The Social Psychology of Organizing — second edition,,capacidade-estatal,ce-fundamentacao
ce668065-3b73-494c-81aa-40fe90d0990e,The effects of communication networks on shared social identity and group performance,,capacidade-estatal,ce-fundamentacao
4761e819-7aec-4b3e-a58e-8fa254a4bce3,The impact of IT governance and management on the performance of Brazilian public-sector organizations,,capacidade-estatal,ce-fundamentacao
522be1aa-ee62-476c-b127-461bb8ce19ad,The impact of legacy systems on digital transformation in European public administration: Lesson learned from a multi case analysis,,capacidade-estatal,ce-fundamentacao
630ae161-e184-40ab-bfae-d1d4850999fc,Uma proposta de melhoria para o processo de requisitos em projetos do Núcleo de Práticas de Informática da UFC de Quixadá,,capacidade-estatal,ce-fundamentacao
9d2fa613-0508-41c8-aab2-57f0f4844456,Uma reforma gerencial da administração pública no Brasil,,capacidade-estatal,ce-fundamentacao
b5052d31-c88b-458e-8f3a-1962630ffd06,"When Flexible Routines Meet Flexible Technologies: Affordance, Constraint, and the Imbrication of Human and Material Agencies",,capacidade-estatal,ce-fundamentacao
4ce5fb16-6098-40aa-8827-649c2b9b9d1f,Where Are the Missing Masses? The Sociology of a Few Mundane Artifacts,,capacidade-estatal,ce-fundamentacao
0c56d39c-6ad2-46fb-a3f7-d509a28c5fe9,eGovernment in Africa: Promise and Practice,,capacidade-estatal,ce-fundamentacao
a83d541b-0103-4862-b9f8-1a701d0458f9,A bordo do ExpressoBR: uma história do software livre e suas promessas para o Brasil no início do século 21,,capacidade-estatal,ce-implementacao
369833b5-b863-4b8e-b421-49c7af134bdb,Academic Literature on Open Source Research & Methods,,capacidade-estatal,ce-implementacao
7adfa610-60aa-43e6-b4ce-6c3e5e876281,Adoção de Tecnologia: Um estudo sobre o uso de software livre nas empresas,,capacidade-estatal,ce-implementacao
1639b150-7c0c-4988-9a5c-b1eae3b6c9ef,Arcabouço TI BR V2,capacidade-estatal,capacidade-estatal,ce-implementacao
da32f727-60a8-487a-bbaf-c591fcb834f4,Arqueologia SIAPE: Fita Espelho,capacidade-estatal,capacidade-estatal,ce-implementacao
30e4b18f-df90-4b24-82e0-2a6320357ad2,Arqueologia SIAPE: Manual do Webservice,capacidade-estatal,capacidade-estatal,ce-implementacao
2999a18c-5330-44c1-b376-3a4b4a22af27,Auditoria do Arcabouço Normativo de TI da Administração Pública Federal,,capacidade-estatal,ce-implementacao
5cf912d0-d82c-4820-91f0-8d7ca6f9ab65,Autorização para abertura de dispensa eletrônica — Processo Administrativo nº 63397.000910/2026-43,,capacidade-estatal,ce-implementacao
114c44de-aa83-4f0d-b9f5-159eb1105c89,Data-driven-Digital-Innovation-to-Strengthen-Integrity-TCUs-Payroll-Oversight-in-Brazil,capacidade-estatal,capacidade-estatal,ce-implementacao
65938135-f80f-4821-8ff5-8c0b681f226f,Estudo Técnico Preliminar 13/2025,,capacidade-estatal,ce-implementacao
cde815a1-cfd0-4b28-8761-b70bace45aca,Estudo Técnico Preliminar 17/2026,,capacidade-estatal,ce-implementacao
a46e1feb-308d-4e8c-8134-b23d65e4a045,Estudo Técnico Preliminar 22/2025 — infraestrutura de virtualização de servidores (VMware vSphere),,capacidade-estatal,ce-implementacao
862acf3d-fd22-4c5f-a923-a46db7807c23,Estudo Técnico Preliminar 3/2026 e anexos — Central de Atendimento Multimeios (Contact Center Omnichannel),,capacidade-estatal,ce-implementacao
79b4485b-ce24-46ff-aa3f-774aa82b32b8,"Estudo Técnico Preliminar da Contratação — registro de preços para licenças de aplicativos, softwares e sistemas operacionais Microsoft",,capacidade-estatal,ce-implementacao
f051def6-1fd0-4c2b-8246-0d669ae66e2e,Estudo de caso: CAR/SICAR,capacidade-estatal,capacidade-estatal,ce-implementacao
d17c8ab4-a0e2-4e3e-ac6c-6494f33895c3,Estudo de caso: CadÚnico,capacidade-estatal,capacidade-estatal,ce-implementacao
6f10d513-9cfd-4465-957d-9242410b0e43,Estudo de caso: Caixa Tem,capacidade-estatal,capacidade-estatal,ce-implementacao
3c510aec-1f09-4f4c-b2d3-2fa8c427e493,Estudo de caso: Estaleiro,capacidade-estatal,capacidade-estatal,ce-implementacao
ef1f162c-5ad3-4235-a12a-cf81ae9f2ef4,Estudo de caso: Pix,capacidade-estatal,capacidade-estatal,ce-implementacao
c66f85c1-d731-4c61-b17b-0f3bf590563e,Estudo de caso: RNDS,capacidade-estatal,capacidade-estatal,ce-implementacao
60b18ee3-b1e9-400f-8119-98dbe14560b4,Estudo de caso: SIGEPE,capacidade-estatal,capacidade-estatal,ce-implementacao
cb45fef0-4e88-4abb-8f17-e8f8648d5afc,Estudo de caso: SPED,capacidade-estatal,capacidade-estatal,ce-implementacao
700724ce-589a-430f-8800-31dab21b3cbb,Estudo de caso: Urna,capacidade-estatal,capacidade-estatal,ce-implementacao
49b89d8c-a8d0-478b-b803-b3819aad0ed1,Estudo de caso: gov.br,capacidade-estatal,capacidade-estatal,ce-implementacao
5146518e-72cd-49c4-a43a-1c07c71a869e,Implementação de software livre no governo federal: um estudo de caso de adoção do comum,,capacidade-estatal,ce-implementacao
ccd09951-48da-42bb-89a2-2ddb45327116,Integração de normativos,capacidade-estatal,capacidade-estatal,ce-implementacao
7bbaaa71-b141-4b66-8de2-e232e68670de,Mapeamento normativo do SISP,capacidade-estatal,capacidade-estatal,ce-implementacao
20fee7cb-84d9-4849-b952-79ae30a38045,Nota Técnica SEI nº 8943-2021-ME,,capacidade-estatal,ce-implementacao
4088fd96-189a-4ed0-9225-6acbf7fe0ebb,Plano de Transformação Digital da Controladoria-Geral da União,,capacidade-estatal,ce-implementacao
745704b3-bacc-493d-9fd7-a0e67d690fd5,"Plano de Transformação Digital do Ministério da Ciência, Tecnologia e Inovação",,capacidade-estatal,ce-implementacao
d14cac3f-aa98-4c24-85c1-e5146cb31c4a,Plano de Transformação Digital do Ministério da Fazenda,,capacidade-estatal,ce-implementacao
bd4135f7-4032-4e29-9f39-b11eadb43015,Plano de Transformação Digital do Ministério da Gestão e da Inovação em Serviços Públicos (PTD-MGI),,capacidade-estatal,ce-implementacao
1f2308fd-8aba-46e6-ac6f-515cff05e403,Termo de Referência 32/2026,,capacidade-estatal,ce-implementacao
a0dfdc14-5591-4208-9412-263466507a18,Um estudo sobre a aceitação e utilização de Software Livre e de Código Aberto na Universidade Federal do Ceará com base na aplicação do modelo UTAUT,,capacidade-estatal,ce-implementacao
8066cd43-1187-4d76-9ca6-afa89e9f6fb8,Vigilancia-contra-fraudes-Brasil-Relatorio,,capacidade-estatal,ce-implementacao
aaad3a25-d007-4dfa-9894-4d1de1bc3823,Acórdão 1200/2014-TCU-Plenário — Relatório de Levantamento (TC 023.414/2013-8),,capacidade-estatal,ce-normativo
b7439095-14e4-4375-ae9b-bf4942d00755,"Acórdão 1464/2019-TCU-Plenário — Relatório de Auditoria, UFS (TC 019.523/2017-3)",,capacidade-estatal,ce-normativo
f1c87c08-b06c-456d-a042-5b5aa955e7e4,"Acórdão 2569/2018-TCU-Plenário — Relatório de Auditoria, SETIC (TC 030.236/2016-9)",,capacidade-estatal,ce-normativo
fbfca846-660d-4c18-a196-e46f504a0588,Acórdão 2591/2021-TCU-Plenário — Relatório de Levantamento (TC 032.462/2019-0),,capacidade-estatal,ce-normativo
452055ad-2ddd-4a58-adbe-6127a953146e,"Ato nº 2.436, de 7 de março de 2023 (Anatel)",,capacidade-estatal,ce-normativo
7ee1510b-2832-4399-a66b-e285077436a9,Decreto nº 11.299/2022 — Alteração do Decreto nº 9.612/2018 (políticas públicas de telecomunicações),,capacidade-estatal,ce-normativo
6fb15ff6-93cd-46cc-aaf2-275b67cfe62e,Decreto nº 11.816/2023 — Estrutura Regimental e o Quadro Demonstrativo dos Cargos em Comissão,,capacidade-estatal,ce-normativo
50746ea5-7a9d-41d0-a12a-11058303e7e6,Decreto nº 12.069/2024 — Estratégia Nacional de Governo Digital e Rede Gov.br,,capacidade-estatal,ce-normativo
f2df53a6-7db7-45f9-8dd4-f93808822425,Decreto nº 12.103/2024 — Estrutura Regimental do Instituto Nacional de Tecnologia da Informação,,capacidade-estatal,ce-normativo
0c233de3-014b-4dd0-ba96-257d3b9fae93,Decreto nº 12.198/2024 — Estratégia Federal de Governo Digital 2024–2027 e Infraestrutura Nacional de Dados,,capacidade-estatal,ce-normativo
e39b4533-8b29-4411-b676-244f3376ec2d,Decreto nº 7.579/2011 — Sistema de Administração dos Recursos de Tecnologia da Informação (SISP),,capacidade-estatal,ce-normativo
1cff132a-b646-4ca8-bf0c-5287d899dde6,"Instrução Normativa SGD/ME nº 1 (versão compilada, julho de 2022)",,capacidade-estatal,ce-normativo
4fbc19d3-fbbd-4259-b941-e565e7a860f2,"Instrução Normativa SGD/ME nº 94, de 23 de dezembro de 2022",,capacidade-estatal,ce-normativo
35ca79fa-db3c-4ae0-a56c-649bc4051b0f,"Instrução Normativa SGP-ENAP/MGI nº 11, de 27 de março de 2024",,capacidade-estatal,ce-normativo
14975bdd-65ae-4e2f-a062-5a4afa8fc6fa,"Instrução Normativa SGP-ENAP/SEDGG/ME nº 21, de 2021",,capacidade-estatal,ce-normativo
fcb31057-acd0-4e51-aac3-4e46c2efb43e,Lei nº 12.682/2012 — Elaboração e arquivamento de documentos em meios eletromagnéticos,,capacidade-estatal,ce-normativo
bcd39092-343f-48e0-b934-ee6b8923ac44,"Lei nº 14.129, de 29 de março de 2021",,capacidade-estatal,ce-normativo
5a0838e8-7b30-4a4e-b43a-3bbb26ebd6fe,Lei nº 14.600/2023 — Organização básica dos órgãos da Presidência da República,,capacidade-estatal,ce-normativo
9dee543f-7de5-40ec-84d3-cc7d7816bb12,"Lei nº 15.358, de 24 de março de 2026",,capacidade-estatal,ce-normativo
9182c09f-75ee-4dcf-8236-fe0c4a8f36b4,"Lei nº 8.112, de 11 de dezembro de 1990 — Regime jurídico dos servidores públicos civis da União",capacidade-estatal,capacidade-estatal,ce-normativo
0569629c-6934-470f-b4ef-ff8a3ee4e409,"Portaria Conjunta SGD/SGP/MGI nº 13, de 2025",,capacidade-estatal,ce-normativo
9bedf6bb-1b0b-4a5c-89af-7e0f269fae62,"Portaria GSI/PR nº 59, de 26 de julho de 2018",,capacidade-estatal,ce-normativo
6b2464bd-a95f-4e31-a5c9-edde9245a57b,"Portaria SGD/ME nº 778, de 4 de abril de 2019 — implantação da Governança de TIC",,capacidade-estatal,ce-normativo
a4c5d1df-5cb1-4392-958d-3101a00fde49,"Portaria SGD/MGI nº 6.618, de 25 de setembro de 2024",,capacidade-estatal,ce-normativo
4dcf6c4c-58b0-4d4e-b0ff-c3642e2a1f7f,Resolução Anatel nº 715/2019 — Regulamento de Avaliação da Conformidade e de Homologação de Produtos para Telecomunicações,,capacidade-estatal,ce-normativo
03bf0f10-2357-46da-bf72-e4effad4fc70,"Resolução CPGD/MGI nº 2, de 30 de outubro de 2024",,capacidade-estatal,ce-normativo
de037810-8d2a-4d67-85e2-a50278381d6d,CGEIT Review Manual 2010,,capacidade-estatal,ce-prescritivo
8655f781-56d7-416d-8278-2a512bd67448,COSO ERM: Integrating with Strategy and Performance — Executive Summary,capacidade-estatal,capacidade-estatal,ce-prescritivo
ca82bd76-dba9-4237-9e4a-059606aa19e2,Cartilha de Governança de Dados — Volume I: Conceitos Iniciais,,capacidade-estatal,ce-prescritivo
0d2891fb-b00c-48f7-9411-71563abee553,Cartilha do Catálogo Nacional de Dados,,capacidade-estatal,ce-prescritivo
836bece0-7874-4ce5-8582-f04ac4b722e9,Compliance - Finance,capacidade-estatal,capacidade-estatal,ce-prescritivo
33619595-eb3d-4f44-a099-29b1da0273b5,Compliance - Investigações,capacidade-estatal,capacidade-estatal,ce-prescritivo
7bc25168-90fd-492d-a020-dc953bf35731,Compliance - Pilares,capacidade-estatal,capacidade-estatal,ce-prescritivo
6cffaf57-5fbb-4efb-a64a-45046a3a015c,Compliance - Risk Assessment,capacidade-estatal,capacidade-estatal,ce-prescritivo
778e6bfe-a448-4d61-b147-978421dd9088,Compliance Digital,capacidade-estatal,capacidade-estatal,ce-prescritivo
47a473b6-881d-43e7-8dfb-d1a77287885d,Compliance na América Latina,capacidade-estatal,capacidade-estatal,ce-prescritivo
2bf03b12-aeaa-40e6-a7c7-eec4e5f4f22d,Executive's Guide to COSO Internal Controls: Understanding and Implementing the New Framework,capacidade-estatal,capacidade-estatal,ce-prescritivo
381242af-1805-4427-870e-e2c6fa875513,Extrator de Dados SIAPE — Manual,capacidade-estatal,capacidade-estatal,ce-prescritivo
d5d70f9a-8b1e-426e-9bf4-37344cb456f6,Gov Hub: um guia prático para integração e qualificação de dados públicos,,capacidade-estatal,ce-prescritivo
e7de2405-7cff-40ad-a234-3bafda34781b,"Guia Livre: Referência de Migração para Software Livre do Governo Federal, Versão 1.0",,capacidade-estatal,ce-prescritivo
b11ce29b-3115-4c50-8f9f-0c6690391680,Guia de integração dos sistemas eletrônicos de frequência com o SIAPE v1.9,capacidade-estatal,capacidade-estatal,ce-prescritivo
bda147a5-088b-4690-814a-813072965e52,Internal Control Audit and Compliance: Documentation and Testing Under the New COSO Framework,capacidade-estatal,capacidade-estatal,ce-prescritivo
81d20863-2f7f-46d7-8d9b-29a8a266783b,Manual Operacional SIAPE Saúde - Perfil Administrativo,capacidade-estatal,capacidade-estatal,ce-prescritivo
51b9415a-df47-4610-a9be-8fe2303b63e2,Manual Operacional SIAPE Saúde - Perfil Gestor,capacidade-estatal,capacidade-estatal,ce-prescritivo
2b4a31fd-447a-4a32-a417-33c3ce00cdb4,Manual de Padrões para Iniciação do Pix v2.6.2,capacidade-estatal,capacidade-estatal,ce-prescritivo
4a290704-e16c-461f-b383-34983df6a6c2,Manual do Siorg — Cadastro de Estruturas Organizacionais,,capacidade-estatal,ce-prescritivo
0d146df8-af09-4c5b-8c41-f983b481b407,Manual do eSocial,capacidade-estatal,capacidade-estatal,ce-prescritivo
9fec1880-c37a-4328-afb8-6d45b947c7f5,Manual para utilização da API Siape Afastamento v1.4,capacidade-estatal,capacidade-estatal,ce-prescritivo
37c819ff-7d58-48d5-9aa3-6034ed691908,Pilares do Compliance - CGU,capacidade-estatal,capacidade-estatal,ce-prescritivo
46ec2bca-2c0e-4177-a8a3-96e3cf06b625,Transparência e uso de dados em gestão de pessoas no setor público: guia de referência — sumário executivo,capacidade-estatal,capacidade-estatal,ce-prescritivo
17cf7752-18c9-405e-bef5-476f72935796,manual de procedimento do extrator de dados DW SIASS,capacidade-estatal,capacidade-estatal,ce-prescritivo
24c410ef-3831-4845-babd-bc9a0f6bae9e,Graph Theory and Complex Networks: An Introduction,estudos-ontologias,estudos-ontologias,onto-engenharia
f3bce70a-4d4d-4e68-914a-625e569a77be,Networks: An Introduction,estudos-ontologias,estudos-ontologias,onto-engenharia
29d11a54-fca4-47db-b84a-89a08fd3c384,A Cooperative Approach between Intelligence and Policymakers at the National Level: Does it Have a Chance?,,inteligencia,
092a5338-91d1-491b-804a-5fd92e22653b,Application of Future Studies by Intelligence Service to Optimize Public Policies,,inteligencia,
d2ca0dda-5076-4dfc-883d-efcd273385e8,Artificial Intelligence Risk Management Framework (AI RMF 1.0),ia,inteligencia,
b6827ef1-4d49-4ae8-a466-162056bb03ae,Artificial Intelligence Risk Management Framework: Generative AI Profile,ia,inteligencia,
8b9c0ecf-72ae-4567-a13f-a5621cd6349d,Atividade de inteligência nacional brasileira — doutrina,,inteligencia,
be8920b1-3221-45e4-a545-459907322002,Bridging the Intelligence-Policy Divide,,inteligencia,
441d5658-d80e-48fa-87fb-3d3c0c58a9cc,Controle Interno e Externo da Atividade de Inteligência em Perspectiva Comparada,inteligencia,inteligencia,
ba155eb5-f6ad-4bbe-8c08-6002ad678c75,Decreto de 15 de dezembro de 2017 — aprova a Estratégia Nacional de Inteligência (ENINT),,inteligencia,
ae90abd0-8dea-459b-be73-7ce738bb63b0,Decreto nº 10.569/2020 — Estratégia Nacional de Segurança de Infraestruturas Críticas,,inteligencia,
ac234481-bca2-432e-a5e0-294cb188cc01,Decreto nº 10.777/2021 — Política Nacional de Inteligência de Segurança Pública,,inteligencia,
6b29f7ce-0f3d-4c38-8be9-ab5a0af1bc7d,Decreto nº 10.778/2021 — Estratégia Nacional de Inteligência de Segurança Pública,,inteligencia,
5e5d9d1d-2d94-4fb2-bb48-94bd47c43de8,Decreto nº 11.200/2022 — Plano Nacional de Segurança de Infraestruturas Críticas,,inteligencia,
fcc69a69-5dd5-465d-8ba4-db2912ff952d,"Decreto nº 11.491/2023 — Convenção sobre o Crime Cibernético (Budapeste, 2001)",,inteligencia,
576d5539-91f3-4fbf-b42b-9a8e3cd6a292,Decreto nº 11.693/2023 — Organização e o funcionamento do Sistema Brasileiro de Inteligência,,inteligencia,
1ff64c8e-00a3-4c8e-bbc0-e87256ac50fc,"Decreto nº 12.725/2025 — Política Nacional de Defesa, Estratégia Nacional de Defesa e Livro Branco de Defesa Nacional",,inteligencia,
b8a782c7-f128-4854-8695-01a44b12f926,Decreto nº 12.853/2026 — Câmara de Relações Exteriores e Defesa Nacional do Conselho de Governo.,,inteligencia,
b8100469-f1db-467b-a225-7eae2187fca2,Decreto nº 3.897/2001 — Diretrizes para o emprego das Forças Armadas na garantia da lei e da ordem,,inteligencia,
6b197af1-e32c-4909-9b7a-afb06f8e91aa,Decreto nº 8.793/2016 — Política Nacional de Inteligência,,inteligencia,
6479ccf9-c72f-41f2-8dcf-74172582fc7d,Decreto nº 8.903/2016 — Programa de Proteção Integrada de Fronteiras e organiza a atuação,,inteligencia,
d5c4830b-164f-4401-95d8-a74d6e2e12e3,Decreto nº 9.435/2018 — Regulamentação do art. 10 da Lei nº 11.776,,inteligencia,
a4b98a78-2832-47d6-969c-80930b96b087,"Decreto nº 9.489/2018 — Regulamenta, no âmbito da União, a Lei nº 13.675, de 11 de junho",,inteligencia,
9a540706-3fdd-4164-8a99-15e8897e0409,Decreto nº 9.573/2018 — Política Nacional de Segurança de Infraestruturas Críticas,,inteligencia,
fe877ff7-4d6c-4f65-867c-6e995f2e731f,Decreto nº 9.663/2019 — Estatuto do Conselho de Controle de Atividades Financeiras (Coaf),,inteligencia,
266e2bf3-6ee0-4ab2-bf0a-9436095275e6,Decreto nº 9.865/2019 — Colegiados do Sistema de Proteção ao Programa Nuclear Brasileiro.,,inteligencia,
d0b609ee-59a3-4a4e-ac5f-62a97dd90f8b,"Estratégia de Inteligência de Defesa (2023), aprovada pela Portaria MD nº 5.437",,inteligencia,
def76131-b224-43c4-a5ba-ee2d84cfe999,Intelligence Community Information Environment Risk Management (ICD 503),,inteligencia,
3f60ef52-b9cf-4e46-b2ed-f05391479077,Legitimacy of Intelligence According to Political Thinkers,,inteligencia,
8a3e1ff5-aa11-4101-aae2-7272423d5f0d,Lei nº 11.776/2008 — Estruturação do Plano de Carreiras e Cargos da ABIN,,inteligencia,
488fd09f-e1f4-4a0a-b6d9-3a810cbccf89,Lei nº 12.731/2012 — Sistema de Proteção ao Programa Nuclear Brasileiro - SIPRON e revoga,,inteligencia,
826e1efa-c11b-4fff-ba34-6bb472a1eed4,Lei nº 13.675/2018 — Organização e o funcionamento dos órgãos responsáveis pela segurança,,inteligencia,
b6c344f6-d410-4c3b-b449-50a18e542f02,"Lei nº 13.974/2020 — Conselho de Controle de Atividades Financeiras (Coaf), de que trata",,inteligencia,
08b618fb-eb38-4c74-a105-484cfd63f1eb,Lei nº 6.880/1980 — Estatuto dos Militares,,inteligencia,
27f003e9-c591-4cfc-88ba-5ec0c2ede3b8,Lei nº 9.883/1999 — Lei da Agência Brasileira de Inteligência,,inteligencia,
99bdebcd-b147-4189-aab7-994f92619944,Manual de uso de ferramentas de inteligência artificial em apoio à análise ex ante de políticas públicas,,inteligencia,
837f7466-03c6-440f-b008-1c4b6475636d,Participantes do Sisbin — anexo da Portaria nº 4.232 (v3),,inteligencia,
5c79aaa1-3a54-48ca-a85b-857b3c3f5236,Plano de Transformação Digital do Ministério da Defesa,,inteligencia,
